,Year,Gold,Silver,Bronze,Category,Sports
0,1951,IND,JPN,JPN,Men,100 m
1,1954,PAK,PHI,IND,Men,100 m
2,1958,PAK,JPN,PHI,Men,100 m
3,1962,INA,MAL,PHI,Men,100 m
4,1966,MAL,SIN,JPN,Men,100 m
5,1970,JPN,THA,SIN,Men,100 m
6,1974,THA,JPN,THA,Men,100 m
7,1978,THA,IND,KOR,Men,100 m
8,1982,MAL,KOR,THA,Men,100 m
9,1986,QAT,JPN,CHN,Men,100 m
10,1990,QAT,CHN,SRI,Men,100 m
11,1994,QAT,KAZ,CHN,Men,100 m
12,1998,JPN,THA,JPN,Men,100 m
13,2002,KSA,JPN,CHN,Men,100 m
14,2006,KSA,JPN,THA,Men,100 m
15,2010,CHN,KSA,OMA,Men,100 m
16,2014,QAT,CHN,JPN,Men,100 m
17,2018,CHN,QAT,JPN,Men,100 m
18,1951,IND,IND,JPN,Men,200 m
19,1954,PAK,PAK,HKG,Men,200 m
20,1958,IND,PAK,PHI,Men,200 m
21,1962,MAL,JPN,INA,Men,200 m
22,1966,MAL,IND,MAL,Men,200 m
23,1970,THA,JPN,SIN,Men,200 m
24,1974,THA,JPN,PAK,Men,200 m
25,1978,IND,JPN,THA,Men,200 m
26,1982,KOR,JPN,MAL,Men,200 m
27,1986,KOR,CHN,JPN,Men,200 m
28,1990,JPN,SRI,CHN,Men,200 m
29,1994,QAT,JPN,QAT,Men,200 m
30,1998,JPN,CHN,SRI,Men,200 m
31,2002,JPN,KAZ,CHN,Men,200 m
32,2006,JPN,CHN,JPN,Men,200 m
33,2010,QAT,JPN,UAE,Men,200 m
34,2014,QAT,KSA,KOR,Men,200 m
35,2018,JPN,TPE,BRN,Men,200 m
36,1951,JPN,IND,IND,Men,400 m
37,1954,JPN,IND,ROC,Men,400 m
38,1958,IND,PHI,MAL,Men,400 m
39,1962,IND,IND,JPN,Men,400 m
40,1966,IND,JPN,JPN,Men,400 m
41,1970,JPN,CEY,IND,Men,400 m
42,1974,SRI,IRN,JPN,Men,400 m
43,1978,IRQ,IND,IND,Men,400 m
44,1982,JPN,IND,CHN,Men,400 m
45,1986,JPN,PHI,OMA,Men,400 m
46,1990,OMA,QAT,JPN,Men,400 m
47,1994,QAT,KOR,THA,Men,400 m
48,1998,SRI,QAT,IND,Men,400 m
49,2002,KUW,KSA,SRI,Men,400 m
50,2006,KSA,BRN,KUW,Men,400 m
51,2010,QAT,JPN,KSA,Men,400 m
52,2014,KSA,BRN,IND,Men,400 m
53,2018,QAT,IND,BRN,Men,400 m
54,1951,IND,IND,JPN,Men,800 m
55,1954,JPN,IND,JPN,Men,800 m
56,1958,JPN,IRN,KOR,Men,800 m
57,1962,JPN,IND,IND,Men,800 m
58,1966,IND,MAL,JPN,Men,800 m
59,1970,BIR,IND,JPN,Men,800 m
60,1974,IND,IRN,PAK,Men,800 m
61,1978,IND,IRQ,JPN,Men,800 m
62,1982,IND,KOR,IRQ,Men,800 m
63,1986,KOR,KOR,KUW,Men,800 m
64,1990,KOR,KOR,PAK,Men,800 m
65,1994,KOR,CHN,KOR,Men,800 m
66,1998,KOR,KOR,QAT,Men,800 m
67,2002,BRN,IND,CHN,Men,800 m
68,2006,BRN,KUW,IRI,Men,800 m
69,2010,IRI,IRQ,QAT,Men,800 m
70,2014,IRQ,CHN,QAT,Men,800 m
71,2018,IND,IND,QAT,Men,800 m
72,1951,IND,JPN,JPN,Men,1500 m
73,1954,KOR,JPN,JPN,Men,1500 m
74,1958,IRN,JPN,KOR,Men,1500 m
75,1962,IND,IND,JPN,Men,1500 m
76,1966,JPN,MAL,JPN,Men,1500 m
77,1970,JPN,PAK,BIR,Men,1500 m
78,1974,PAK,JPN,KOR,Men,1500 m
79,1978,JPN,PAK,IND,Men,1500 m
80,1982,IRQ,JPN,IND,Men,1500 m
81,1986,JPN,KOR,QAT,Men,1500 m
82,1990,QAT,KOR,JPN,Men,1500 m
83,1994,QAT,CHN,JPN,Men,1500 m
84,1998,QAT,KOR,IND,Men,1500 m
85,2002,BRN,CHN,CHN,Men,1500 m
86,2006,QAT,BRN,BRN,Men,1500 m
87,2010,KSA,IRI,BRN,Men,1500 m
88,2014,QAT,BRN,IRQ,Men,1500 m
89,2018,IND,IRI,BRN,Men,1500 m
90,1951,IRN,IND,JPN,Men,5000 m
91,1954,JPN,KOR,IND,Men,5000 m
92,1958,JPN,KOR,IRN,Men,5000 m
93,1962,PAK,JPN,IND,Men,5000 m
94,1966,JPN,JPN,CEY,Men,5000 m
95,1970,CEY,IND,ISR,Men,5000 m
96,1974,IND,ISR,JPN,Men,5000 m
97,1978,IND,JPN,CHN,Men,5000 m
98,1982,JPN,CHN,IND,Men,5000 m
99,1986,KOR,JPN,JPN,Men,5000 m
100,1990,QAT,JPN,CHN,Men,5000 m
101,1994,JPN,QAT,CHN,Men,5000 m
102,1998,QAT,QAT,KOR,Men,5000 m
103,2002,KSA,BRN,QAT,Men,5000 m
104,2006,QAT,BRN,QAT,Men,5000 m
105,2010,BRN,QAT,QAT,Men,5000 m
106,2014,QAT,BRN,BRN,Men,5000 m
107,2018,BRN,BRN,KSA,Men,5000 m
108,1951,JPN,JPN,IND,Men,"10,000 m"
109,1954,KOR,JPN,ROC,Men,"10,000 m"
110,1958,JPN,PAK,IRN,Men,"10,000 m"
111,1962,IND,JPN,INA,Men,"10,000 m"
112,1966,JPN,JPN,CEY,Men,"10,000 m"
113,1970,CEY,JPN,KOR,Men,"10,000 m"
114,1974,JPN,IND,JPN,Men,"10,000 m"
115,1978,IND,BIR,BIR,Men,"10,000 m"
116,1982,CHN,JPN,KOR,Men,"10,000 m"
117,1986,JPN,KOR,JPN,Men,"10,000 m"
118,1990,JPN,KOR,CHN,Men,"10,000 m"
119,1994,JPN,JPN,KSA,Men,"10,000 m"
120,1998,JPN,QAT,IND,Men,"10,000 m"
121,2002,KSA,QAT,BRN,Men,"10,000 m"
122,2006,BRN,QAT,BRN,Men,"10,000 m"
123,2010,BRN,QAT,BRN,Men,"10,000 m"
124,2014,BRN,JPN,BRN,Men,"10,000 m"
125,2018,BRN,CHN,THA,Men,"10,000 m"
126,1951,SIN,JPN,SIN,Men,110 m hurdles
127,1954,IND,JPN,JPN,Men,110 m hurdles
128,1958,PAK,ROC,JPN,Men,110 m hurdles
129,1962,INA,PAK,JPN,Men,110 m hurdles
130,1966,PAK,JPN,MAL,Men,110 m hurdles
131,1970,JPN,ROC,THA,Men,110 m hurdles
132,1974,CHN,MAL,IRQ,Men,110 m hurdles
133,1978,CHN,JPN,IND,Men,110 m hurdles
134,1982,JPN,CHN,IND,Men,110 m hurdles
135,1986,CHN,CHN,KOR,Men,110 m hurdles
136,1990,CHN,JPN,JPN,Men,110 m hurdles
137,1994,CHN,CHN,MAS,Men,110 m hurdles
138,1998,CHN,KAZ,QAT,Men,110 m hurdles
139,2002,CHN,JPN,KOR,Men,110 m hurdles
140,2006,CHN,CHN,JPN,Men,110 m hurdles
141,2010,CHN,CHN,KOR,Men,110 m hurdles
142,2014,CHN,KOR,THA,Men,110 m hurdles
143,2018,CHN,TPE,JPN,Men,110 m hurdles
144,1951,JPN,IND,SIN,Men,400 m hurdles
145,1954,PAK,SIN,PHI,Men,400 m hurdles
146,1958,ROC,JPN,ROC,Men,400 m hurdles
147,1962,JPN,JPN,MAL,Men,400 m hurdles
148,1966,JPN,JPN,MAL,Men,400 m hurdles
149,1970,JPN,ROC,PAK,Men,400 m hurdles
150,1974,IRQ,KUW,IND,Men,400 m hurdles
151,1978,IRQ,JPN,IRQ,Men,400 m hurdles
152,1982,JPN,JPN,BRN,Men,400 m hurdles
153,1986,BRN,JPN,KUW,Men,400 m hurdles
154,1990,PAK,KOR,CHN,Men,400 m hurdles
155,1994,JPN,JPN,QAT,Men,400 m hurdles
156,1998,JPN,JPN,TPE,Men,400 m hurdles
157,2002,KSA,QAT,JPN,Men,400 m hurdles
158,2006,JPN,CHN,JPN,Men,400 m hurdles
159,2010,IND,KSA,JPN,Men,400 m hurdles
160,2014,BRN,JPN,CHN,Men,400 m hurdles
161,2018,QAT,IND,JPN,Men,400 m hurdles
162,1951,JPN,IRN,IND,Men,3000 m steeplechase
163,1954,JPN,JPN,IND,Men,3000 m steeplechase
164,1958,PAK,JPN,JPN,Men,3000 m steeplechase
165,1962,PAK,JPN,JPN,Men,3000 m steeplechase
166,1966,JPN,IRN,JPN,Men,3000 m steeplechase
167,1970,JPN,JPN,IND,Men,3000 m steeplechase
168,1974,JPN,IND,CHN,Men,3000 m steeplechase
169,1978,JPN,IND,JPN,Men,3000 m steeplechase
170,1982,JPN,IND,PHI,Men,3000 m steeplechase
171,1986,JPN,CHN,JPN,Men,3000 m steeplechase
172,1990,JPN,IND,CHN,Men,3000 m steeplechase
173,1994,CHN,KSA,JPN,Men,3000 m steeplechase
174,1998,JPN,IRI,IRI,Men,3000 m steeplechase
175,2002,QAT,JPN,,Men,3000 m steeplechase
176,2002,QAT,QAT,,Men,3000 m steeplechase
177,2006,BRN,QAT,CHN,Men,3000 m steeplechase
178,2010,BRN,QAT,KSA,Men,3000 m steeplechase
179,2014,QAT,BRN,IND,Men,3000 m steeplechase
180,2018,IRI,QAT,JPN,Men,3000 m steeplechase
181,1951,JPN,IND,PHI,Men,4 × 100 m relay
182,1954,JPN,PAK,PHI,Men,4 × 100 m relay
183,1958,PHI,JPN,PAK,Men,4 × 100 m relay
184,1962,PHI,JPN,MAL,Men,4 × 100 m relay
185,1966,MAL,INA,PHI,Men,4 × 100 m relay
186,1970,THA,JPN,IND,Men,4 × 100 m relay
187,1974,THA,CHN,SIN,Men,4 × 100 m relay
188,1978,THA,JPN,CHN,Men,4 × 100 m relay
189,1982,CHN,THA,JPN,Men,4 × 100 m relay
190,1986,CHN,JPN,KOR,Men,4 × 100 m relay
191,1990,CHN,TPE,JPN,Men,4 × 100 m relay
192,1994,JPN,CHN,QAT,Men,4 × 100 m relay
193,1998,JPN,THA,OMA,Men,4 × 100 m relay
194,2002,THA,JPN,CHN,Men,4 × 100 m relay
195,2006,THA,JPN,CHN,Men,4 × 100 m relay
196,2010,CHN,TPE,THA,Men,4 × 100 m relay
197,2014,CHN,JPN,HKG,Men,4 × 100 m relay
198,2018,JPN,INA,CHN,Men,4 × 100 m relay
199,1951,IND,JPN,PHI,Men,4 × 400 m relay
200,1954,JPN,IND,PHI,Men,4 × 400 m relay
201,1958,JPN,ROC,PHI,Men,4 × 400 m relay
202,1962,IND,MAL,JPN,Men,4 × 400 m relay
203,1966,JPN,MAL,SIN,Men,4 × 400 m relay
204,1970,JPN,IND,MAL,Men,4 × 400 m relay
205,1974,SRI,IND,IRN,Men,4 × 400 m relay
206,1978,JPN,IND,IRQ,Men,4 × 400 m relay
207,1982,JPN,IRQ,CHN,Men,4 × 400 m relay
208,1986,JPN,IRQ,PHI,Men,4 × 400 m relay
209,1990,JPN,QAT,CHN,Men,4 × 400 m relay
210,1994,KOR,THA,QAT,Men,4 × 400 m relay
211,1998,JPN,IND,KOR,Men,4 × 400 m relay
212,2002,KSA,IND,SRI,Men,4 × 400 m relay
213,2006,KSA,IND,SRI,Men,4 × 400 m relay
214,2010,KSA,JPN,CHN,Men,4 × 400 m relay
215,2014,JPN,KOR,KSA,Men,4 × 400 m relay
216,2018,QAT,IND,JPN,Men,4 × 400 m relay
217,1951,IND,JPN,IND,Men,Marathon
218,1958,KOR,BIR,JPN,Men,Marathon
219,1962,JPN,PAK,BIR,Men,Marathon
220,1966,JPN,JPN,KOR,Men,Marathon
221,1970,JPN,JPN,KOR,Men,Marathon
222,1978,JPN,PRK,PRK,Men,Marathon
223,1982,KOR,JPN,IND,Men,Marathon
224,1986,JPN,JPN,KOR,Men,Marathon
225,1990,KOR,JPN,PRK,Men,Marathon
226,1994,KOR,JPN,KOR,Men,Marathon
227,1998,KOR,JPN,PRK,Men,Marathon
228,2002,KOR,JPN,JPN,Men,Marathon
229,2006,QAT,BRN,JPN,Men,Marathon
230,2010,KOR,JPN,QAT,Men,Marathon
231,2014,BRN,JPN,JPN,Men,Marathon
232,2018,JPN,BRN,CHN,Men,Marathon
233,1951,IND,JPN,IND,Men,"10,000 m walk"
234,1978,IND,MAL,MAL,Men,20 km walk
235,1982,IND,CHN,CHN,Men,20 km walk
236,1986,CHN,CHN,IND,Men,20 km walk
237,1990,CHN,JPN,CHN,Men,20 km walk
238,1994,CHN,CHN,KAZ,Men,20 km walk
239,1998,CHN,KAZ,CHN,Men,20 km walk
240,2002,KAZ,CHN,JPN,Men,20 km walk
241,2006,CHN,KOR,JPN,Men,20 km walk
242,2010,CHN,CHN,KOR,Men,20 km walk
243,2014,CHN,JPN,KOR,Men,20 km walk
244,2018,CHN,JPN,CHN,Men,20 km walk
245,1951,IND,IND,JPN,Men,50 km walk
246,1982,CHN,CHN,JPN,Men,50 km walk
247,1990,CHN,CHN,JPN,Men,50 km walk
248,1994,KAZ,JPN,JPN,Men,50 km walk
249,1998,CHN,KAZ,JPN,Men,50 km walk
250,2010,CHN,CHN,JPN,Men,50 km walk
251,2014,JPN,KOR,CHN,Men,50 km walk
252,2018,JPN,CHN,KOR,Men,50 km walk
253,1951,PHI,JPN,INA,Men,High jump
254,1954,IND,JPN,PHI,Men,High jump
255,1958,CEY,JPN,JPN,Men,High jump
256,1962,JPN,CEY,PHI,Men,High jump
257,1966,IND,JPN,IRN,Men,High jump
258,1970,IRN,JPN,IND,Men,High jump
259,1974,IRN,CHN,JPN,Men,High jump
260,1978,JPN,JPN,CHN,Men,High jump
261,1982,CHN,CHN,JPN,Men,High jump
262,1986,CHN,CHN,JPN,Men,High jump
263,1990,CHN,CHN,JPN,Men,High jump
264,1990,CHN,CHN,KOR,Men,High jump
265,1990,CHN,CHN,QAT,Men,High jump
266,1990,CHN,CHN,TPE,Men,High jump
267,1994,JPN,KOR,CHN,Men,High jump
268,1998,KOR,CHN,JPN,Men,High jump
269,1998,KOR,CHN,MAS,Men,High jump
270,2002,KOR,CHN,,Men,High jump
271,2002,KOR,CHN,,Men,High jump
272,2002,KOR,KOR,,Men,High jump
273,2006,LIB,KAZ,JPN,Men,High jump
274,2010,QAT,JPN,CHN,Men,High jump
275,2010,QAT,JPN,KAZ,Men,High jump
276,2010,QAT,JPN,QAT,Men,High jump
277,2014,QAT,CHN,QAT,Men,High jump
278,2018,CHN,KOR,JPN,Men,High jump
279,2018,CHN,KOR,SYR,Men,High jump
280,1951,JPN,CEY,JPN,Men,Pole vault
281,1954,JPN,JPN,ROC,Men,Pole vault
282,1958,JPN,JPN,PAK,Men,Pole vault
283,1962,JPN,JPN,PAK,Men,Pole vault
284,1966,JPN,JPN,KOR,Men,Pole vault
285,1970,JPN,JPN,KOR,Men,Pole vault
286,1974,JPN,CHN,CHN,Men,Pole vault
287,1978,JPN,CHN,JPN,Men,Pole vault
288,1982,JPN,JPN,CHN,Men,Pole vault
289,1986,CHN,CHN,KOR,Men,Pole vault
290,1990,CHN,CHN,KOR,Men,Pole vault
291,1994,KAZ,KAZ,JPN,Men,Pole vault
292,1994,KAZ,KAZ,KOR,Men,Pole vault
293,1998,KAZ,KOR,JPN,Men,Pole vault
294,2002,KAZ,JPN,JPN,Men,Pole vault
295,2006,JPN,UZB,CHN,Men,Pole vault
296,2010,CHN,KOR,,Men,Pole vault
297,2010,CHN,UZB,,Men,Pole vault
298,2014,CHN,JPN,KOR,Men,Pole vault
299,2018,JPN,CHN,THA,Men,Pole vault
300,1951,JPN,IND,JPN,Men,Long jump
301,1954,JPN,JPN,ROC,Men,Long jump
302,1958,KOR,ROC,PAK,Men,Long jump
303,1962,JPN,JPN,INA,Men,Long jump
304,1966,JPN,JPN,ROC,Men,Long jump
305,1970,JPN,JPN,IND,Men,Long jump
306,1974,IND,JPN,IND,Men,Long jump
307,1978,IND,JPN,JPN,Men,Long jump
308,1982,KOR,CHN,JPN,Men,Long jump
309,1986,KOR,JPN,CHN,Men,Long jump
310,1990,CHN,CHN,TPE,Men,Long jump
311,1994,CHN,CHN,UZB,Men,Long jump
312,1998,JPN,CHN,QAT,Men,Long jump
313,2002,KSA,CHN,QAT,Men,Long jump
314,2006,KSA,KUW,KSA,Men,Long jump
315,2010,KOR,CHN,KSA,Men,Long jump
316,2014,CHN,KOR,CHN,Men,Long jump
317,2018,CHN,CHN,INA,Men,Long jump
318,1951,JPN,JPN,INA,Men,Triple jump
319,1954,JPN,JPN,KOR,Men,Triple jump
320,1958,IND,JPN,JPN,Men,Triple jump
321,1962,JPN,JPN,INA,Men,Triple jump
322,1966,JPN,JPN,IND,Men,Triple jump
323,1970,IND,IND,ROC,Men,Triple jump
324,1974,JPN,IND,IRN,Men,Triple jump
325,1978,JPN,CHN,CHN,Men,Triple jump
326,1982,CHN,JPN,IND,Men,Triple jump
327,1986,JPN,KOR,CHN,Men,Triple jump
328,1990,CHN,CHN,KOR,Men,Triple jump
329,1994,KAZ,JPN,KAZ,Men,Triple jump
330,1998,KAZ,CHN,THA,Men,Triple jump
331,2002,KSA,CHN,JPN,Men,Triple jump
332,2006,CHN,KAZ,KOR,Men,Triple jump
333,2010,CHN,KAZ,CHN,Men,Triple jump
334,2014,CHN,CHN,KOR,Men,Triple jump
335,2018,IND,UZB,CHN,Men,Triple jump
336,1951,IND,JPN,JPN,Men,Shot put
337,1954,IND,JPN,IND,Men,Shot put
338,1958,IND,JPN,ISR,Men,Shot put
339,1962,JPN,IND,IND,Men,Shot put
340,1966,IND,JPN,IRN,Men,Shot put
341,1970,IND,IRN,JPN,Men,Shot put
342,1974,IRN,IND,IND,Men,Shot put
343,1978,IND,CHN,KUW,Men,Shot put
344,1982,IND,KUW,IND,Men,Shot put
345,1986,CHN,CHN,JPN,Men,Shot put
346,1990,CHN,CHN,IND,Men,Shot put
347,1994,CHN,KAZ,CHN,Men,Shot put
348,1998,CHN,IND,KAZ,Men,Shot put
349,2002,IND,QAT,IND,Men,Shot put
350,2006,KSA,QAT,TPE,Men,Shot put
351,2010,KSA,CHN,TPE,Men,Shot put
352,2014,KSA,TPE,IND,Men,Shot put
353,2018,IND,CHN,KAZ,Men,Shot put
354,1951,IND,JPN,PHI,Men,Discus throw
355,1954,IND,ROC,ROC,Men,Discus throw
356,1958,IND,PAK,IND,Men,Discus throw
357,1962,JPN,IND,JPN,Men,Discus throw
358,1966,IND,IRN,IND,Men,Discus throw
359,1970,IND,IRN,JPN,Men,Discus throw
360,1974,IRN,IND,IRN,Men,Discus throw
361,1978,CHN,CHN,JPN,Men,Discus throw
362,1982,CHN,IND,CHN,Men,Discus throw
363,1986,CHN,JPN,IND,Men,Discus throw
364,1990,CHN,CHN,IRN,Men,Discus throw
365,1994,CHN,CHN,UZB,Men,Discus throw
366,1998,CHN,IND,CHN,Men,Discus throw
367,2002,CHN,IRI,IND,Men,Discus throw
368,2006,IRI,QAT,KSA,Men,Discus throw
369,2010,IRI,IRI,IND,Men,Discus throw
370,2014,IRI,IND,QAT,Men,Discus throw
371,2018,IRI,IRQ,KUW,Men,Discus throw
372,1951,JPN,IND,IND,Men,Hammer throw
373,1954,JPN,PAK,KOR,Men,Hammer throw
374,1958,PAK,JPN,PAK,Men,Hammer throw
